Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Length of specimen (mm),28-day flexural strength (MPa)
0.750187547,42.5,0,0,0.249812453,0,0,0,1.792948237,0.6,0,0.2,0.012003001,0,0,160,18.58816359
0.850340136,42.5,0,0,0.149659864,0,0,0,1.879251701,0.6,0,0.18,0.011989796,0,0,160,23.78378378
0.850340136,42.5,0,0,0.149659864,0,0,0,1.777210884,0.6,0,0.22,0.011989796,0,0,160,20.2027027
0.850340136,42.5,0,0,0.149659864,0,0,0,1.828231293,0.6,0,0.2,0.014030612,0,0,160,22.97297297
0.850340136,42.5,0,0,0.149659864,0,0,0,1.836734694,0.6,0,0.2,0.010034014,0,0,160,20.54054054
0.850340136,42.5,0,0,0.149659864,0,0,0,1.462585034,0.6,0,0.2,0.011989796,0,0,160,23.3650973
0.8,42.5,0,0,0.2,0,0,0,1.448,0.6,0,0.2,0.012,0,0,160,24.4092943
0.750187547,42.5,0,0,0.249812453,0,0,0,1.432858215,0.6,0,0.2,0.012003001,0,0,160,23.31499844
0.8,42.5,0,0,0.2,0,0,0,1.504,0.6,0,0.18,0.012,0,0,160,25.47297297
0.8,42.5,0,0,0.2,0,0,0,1.4,0.6,0,0.22,0.012,0,0,160,23.31081081
0.8,42.5,0,0,0.2,0,0,0,1.44,0.6,0,0.2,0.014,0,0,160,25
0.8,42.5,0,0,0.2,0,0,0,1.456,0.6,0,0.2,0.01,0,0,160,24.52702703
0.850340136,42.5,0,0,0.149659864,0,0,0,1.173469388,0.6,0,0.2,0.011989796,0,0,160,25.40354111
0.8,42.5,0,0,0.2,0,0,0,1.16,0.6,0,0.2,0.012,0,0,160,24.55364443
0.750187547,42.5,0,0,0.249812453,0,0,0,1.140285071,0.6,0,0.2,0.012003001,0,0,160,24.4982681
0.850340136,42.5,0,0,0.149659864,0,0,0,1.224489796,0.6,0,0.18,0.011989796,0,0,160,26.62162162
0.850340136,42.5,0,0,0.149659864,0,0,0,1.12244898,0.6,0,0.22,0.011989796,0,0,160,23.64864865
0.850340136,42.5,0,0,0.149659864,0,0,0,1.173469388,0.6,0,0.2,0.014030612,0,0,160,26.14864865
0.850340136,42.5,0,0,0.149659864,0,0,0,1.181972789,0.6,0,0.2,0.010034014,0,0,160,25.60810811
