Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
0.8,52.5,0,0,0.2,0,0,0,0.319796954,0.88,2.36,0.175634518,0.03032,2.5,81.25,70,180.28
0.8,52.5,0,0,0.2,0,0,0,0.319796954,0.88,2.36,0.175634518,0.03032,2,81.25,70,170.29
0.8,52.5,0,0,0.2,0,0,0,0.319796954,0.88,2.36,0.175634518,0.03032,2.5,37.5,70,178.7
0.8,52.5,0,0,0.2,0,0,0,0.319796954,0.88,2.36,0.175634518,0.03032,2,37.5,70,164
0.8,52.5,0,0,0.2,0,0,0,0.319796954,0.88,2.36,0.175634518,0.03032,0,0,70,132
0.768786127,42.5,0,0,0.231213873,0,0,0,0,1.514450867,0.8,0.205780347,0.026589595,0,0,100,149.8
0.768939394,42.5,0,0,0.231060606,0,0,0,0,2.013888889,5,0.205808081,0.026641414,0,0,100,160.7
0.754716981,42.5,0,0,0.245283019,0,0,0,0.245283019,1.081761006,2.36,0.195058068,0.054913087,2,65,40,111.695112
0.8,52.5,0,0,0.2,0,0,0,0.211,1.136,0.8,0.176,0.039,0,0,100,148
0.755319149,42.5,0,0,0.244680851,0,0,0,0.223404255,1.085106383,2,0.117021277,0.032978723,2,65,40,134
0.4,52.5,0.25,0.25,0.1,0,0,0,0,1.2,2.5,0.15,0.02,0,0,40,141.475827
0.4,52.5,0.25,0.25,0.1,0,0,0,0,1.2,2.5,0.15,0.02,3,74.28571429,40,169.4656489
0.4,52.5,0.25,0.25,0.1,0,0,0,0,1.2,2.5,0.15,0.02,4,74.28571429,40,182.1882952
0.655652174,52.5,0.266086957,0,0.07826087,0,0,0,0,0.826956522,1.25,0.172173913,0.028695652,2,65,40,150.8788474
0.655652174,52.5,0.266086957,0,0.062608696,0.015652174,0,0,0,0.826956522,1.25,0.172173913,0.028695652,2,65,40,154.7364155
0.655652174,52.5,0.266086957,0,0.046956522,0.031304348,0,0,0,0.826956522,1.25,0.172173913,0.028695652,2,65,40,158.9105377
0.655652174,52.5,0.266086957,0,0.031304348,0.046956522,0,0,0,0.826956522,1.25,0.172173913,0.028695652,2,65,40,157.0764062
0.655652174,52.5,0.266086957,0,0.015652174,0.062608696,0,0,0,0.826956522,1.25,0.172173913,0.028695652,2,65,40,155.2429719
0.655652174,52.5,0.266086957,0,0,0.07826087,0,0,0,0.826956522,1.25,0.172173913,0.028695652,2,65,40,155.3057249
0.825103734,52.5,0,0,0.174896266,0,0,0,0.205809129,1.007261411,0.5,0.195,0.025,0,0,100,216.66
0.825104788,52.5,0,0,0.174895212,0,0,0,0.205804916,1.007266676,0.5,0.194999684,0.02500158,1.5,74.28571429,100,211.69
0.825104788,52.5,0,0,0.174895212,0,0,0,0.205804916,1.007266676,0.5,0.194999684,0.02500158,1.5,80,100,202.86
0.825104003,52.5,0,0,0.174895997,0,0,0,0.205813469,1.007261488,0.5,0.195001444,0.025003476,3,74.28571429,100,205.19
0.825104003,52.5,0,0,0.174895997,0,0,0,0.205813469,1.007261488,0.5,0.195001444,0.025003476,3,80,100,207.62
0.757575758,52.5,0.126262626,0,0.116161616,0,0,0,0,1.115151515,5,0.181818182,0.025252525,0,0,40,125
0.74789916,52.5,0.131302521,0,0.120798319,0,0,0,0,1.199579832,5,0.18907563,0.026260504,0,0,40,125
0.737704918,52.5,0.136612022,0,0.12568306,0,0,0,0,1.28852459,5,0.196721311,0.027322404,0,0,40,118
